proteina,cantidadClusters
263d3f-I.CPTAC,4
A2-A0CM.07TCGA,5
A2-A0D2.31TCGA,5
A2-A0EQ.08TCGA,3
A2-A0EV.18TCGA,4
A2-A0EX.04TCGA,2
A2-A0EY.16TCGA,4
A2-A0SW.35TCGA,3
A2-A0SX.36TCGA,4
A2-A0T3.24TCGA,3
A2-A0T6.29TCGA,5
A2-A0YC.13TCGA,4
A2-A0YD.24TCGA,5
A2-A0YF.33TCGA,3
A2-A0YG.27TCGA,4
A2-A0YM.36TCGA,4
A7-A0CE.13TCGA,3
A7-A0CJ.22TCGA,3
A7-A13F.12TCGA,1
A8-A06N.26TCGA,3
A8-A06Z.07TCGA,4
A8-A076.15TCGA,4
A8-A079.23TCGA,5
A8-A08Z.14TCGA,4
A8-A09G.32TCGA,3
AN-A04A.05TCGA,3
AN-A0AJ.21TCGA,5
AN-A0AL.28TCGA,2
AN-A0AM.18TCGA,3
AN-A0FK.11TCGA,2
AN-A0FL.19TCGA,4
AO-A03O.25TCGA,3
AO-A0J6.11TCGA,4
AO-A0J9.10TCGA,5
AO-A0JC.14TCGA,2
AO-A0JE.21TCGA,5
AO-A0JJ.20TCGA,3
AO-A0JL.35TCGA,4
AO-A0JM.30TCGA,3
AO-A126.15TCGA,5
AO-A12B.01TCGA,4
AO-A12B.34TCGA,5
AO-A12D.01TCGA,3
AO-A12D.05TCGA,3
AO-A12E.26TCGA,5
AO-A12F.22TCGA,4
AR-A0TR.25TCGA,2
AR-A0TT.34TCGA,4
AR-A0TV.20TCGA,3
AR-A0TX.14TCGA,3
AR-A0U4.09TCGA,3
AR-A1AP.11TCGA,5
AR-A1AS.31TCGA,2
AR-A1AV.17TCGA,2
AR-A1AW.17TCGA,4
BH-A0AV.05TCGA,4
BH-A0BV.35TCGA,5
BH-A0C1.16TCGA,3
BH-A0C7.36TCGA,4
BH-A0DD.33TCGA,6
BH-A0DG.19TCGA,4
BH-A0E1.12TCGA,3
BH-A0E9.33TCGA,5
BH-A18N.27TCGA,2
BH-A18Q.02TCGA,5
BH-A18U.08TCGA,2
C8-A12L.04TCGA,3
C8-A12T.06TCGA,5
C8-A12U.31TCGA,2
C8-A12V.30TCGA,4
C8-A12Z.20TCGA,6
C8-A130.02TCGA,3
C8-A131.01TCGA,5
C8-A131.32TCGA,4
C8-A134.32TCGA,4
C8-A135.17TCGA,2
C8-A138.03TCGA,2
D8-A142.18TCGA,5
E2-A154.03TCGA,3
E2-A158.29TCGA,2
E2-A15A.29TCGA,2
blcdb9-I.CPTAC,5
c4155b-C.CPTAC,5
